Date,Year,Daily Mean PM2.5 Concentration,UNITS,SITE_LATITUDE,SITE_LONGITUDE
07/01/2008,2008,16.6,ug/m3 LC,40.816,-73.902
07/02/2008,2008,9.6,ug/m3 LC,40.816,-73.902
07/03/2008,2008,22.9,ug/m3 LC,40.816,-73.902
07/04/2008,2008,25.4,ug/m3 LC,40.816,-73.902
07/05/2008,2008,20.1,ug/m3 LC,40.816,-73.902
07/06/2008,2008,23.5,ug/m3 LC,40.816,-73.902
07/07/2008,2008,16.8,ug/m3 LC,40.816,-73.902
07/08/2008,2008,23.8,ug/m3 LC,40.816,-73.902
07/09/2008,2008,16.3,ug/m3 LC,40.816,-73.902
07/10/2008,2008,7,ug/m3 LC,40.816,-73.902
07/11/2008,2008,6.3,ug/m3 LC,40.816,-73.902
07/12/2008,2008,12.5,ug/m3 LC,40.816,-73.902
07/13/2008,2008,4.9,ug/m3 LC,40.816,-73.902
07/14/2008,2008,8.6,ug/m3 LC,40.816,-73.902
07/15/2008,2008,16.3,ug/m3 LC,40.816,-73.902
07/16/2008,2008,19.3,ug/m3 LC,40.816,-73.902
07/17/2008,2008,21.8,ug/m3 LC,40.816,-73.902
07/18/2008,2008,28.4,ug/m3 LC,40.816,-73.902
07/19/2008,2008,28.8,ug/m3 LC,40.816,-73.902
07/20/2008,2008,13.5,ug/m3 LC,40.816,-73.902
07/21/2008,2008,10.3,ug/m3 LC,40.816,-73.902
07/22/2008,2008,16.9,ug/m3 LC,40.816,-73.902
07/23/2008,2008,16.1,ug/m3 LC,40.816,-73.902
07/24/2008,2008,6,ug/m3 LC,40.816,-73.902
07/25/2008,2008,12.2,ug/m3 LC,40.816,-73.902
07/26/2008,2008,18.5,ug/m3 LC,40.816,-73.902
07/27/2008,2008,13.6,ug/m3 LC,40.816,-73.902
07/28/2008,2008,24.1,ug/m3 LC,40.816,-73.902
07/29/2008,2008,33.6,ug/m3 LC,40.816,-73.902
07/30/2008,2008,26.3,ug/m3 LC,40.816,-73.902
07/31/2008,2008,21.1,ug/m3 LC,40.816,-73.902
08/01/2008,2008,8,ug/m3 LC,40.816,-73.902
08/02/2008,2008,13.4,ug/m3 LC,40.816,-73.902
08/03/2008,2008,0.9,ug/m3 LC,40.816,-73.902
08/04/2008,2008,1.2,ug/m3 LC,40.816,-73.902
08/05/2008,2008,6.6,ug/m3 LC,40.816,-73.902
08/06/2008,2008,12.6,ug/m3 LC,40.816,-73.902
08/07/2008,2008,8.7,ug/m3 LC,40.816,-73.902
08/08/2008,2008,3.2,ug/m3 LC,40.816,-73.902
08/09/2008,2008,4.1,ug/m3 LC,40.816,-73.902
08/10/2008,2008,10.1,ug/m3 LC,40.816,-73.902
08/11/2008,2008,5.6,ug/m3 LC,40.816,-73.902
08/12/2008,2008,9.6,ug/m3 LC,40.816,-73.902
08/13/2008,2008,12,ug/m3 LC,40.816,-73.902
08/14/2008,2008,18.5,ug/m3 LC,40.816,-73.902
08/15/2008,2008,16.1,ug/m3 LC,40.816,-73.902
08/16/2008,2008,5.7,ug/m3 LC,40.816,-73.902
08/17/2008,2008,6.8,ug/m3 LC,40.816,-73.902
08/18/2008,2008,20.8,ug/m3 LC,40.816,-73.902
08/19/2008,2008,14.9,ug/m3 LC,40.816,-73.902
08/20/2008,2008,2.6,ug/m3 LC,40.816,-73.902
08/21/2008,2008,8.7,ug/m3 LC,40.816,-73.902
08/22/2008,2008,7.2,ug/m3 LC,40.816,-73.902
08/23/2008,2008,4,ug/m3 LC,40.816,-73.902
08/24/2008,2008,4.7,ug/m3 LC,40.816,-73.902
08/25/2008,2008,7.5,ug/m3 LC,40.816,-73.902
08/26/2008,2008,1.7,ug/m3 LC,40.816,-73.902
08/27/2008,2008,3.9,ug/m3 LC,40.816,-73.902
08/28/2008,2008,7.3,ug/m3 LC,40.816,-73.902
08/29/2008,2008,6.1,ug/m3 LC,40.816,-73.902
08/30/2008,2008,12.4,ug/m3 LC,40.816,-73.902
08/31/2008,2008,6.5,ug/m3 LC,40.816,-73.902
09/01/2008,2008,5.2,ug/m3 LC,40.816,-73.902
09/02/2008,2008,8.5,ug/m3 LC,40.816,-73.902
09/03/2008,2008,7.7,ug/m3 LC,40.816,-73.902
09/04/2008,2008,23.8,ug/m3 LC,40.816,-73.902
09/05/2008,2008,16.7,ug/m3 LC,40.816,-73.902
09/06/2008,2008,4.4,ug/m3 LC,40.816,-73.902
09/07/2008,2008,2.6,ug/m3 LC,40.816,-73.902
09/08/2008,2008,9.3,ug/m3 LC,40.816,-73.902
09/09/2008,2008,10.8,ug/m3 LC,40.816,-73.902
09/10/2008,2008,2.6,ug/m3 LC,40.816,-73.902
09/11/2008,2008,3.7,ug/m3 LC,40.816,-73.902
09/12/2008,2008,6.5,ug/m3 LC,40.816,-73.902
09/13/2008,2008,10.9,ug/m3 LC,40.816,-73.902
09/14/2008,2008,19.7,ug/m3 LC,40.816,-73.902
09/15/2008,2008,8,ug/m3 LC,40.816,-73.902
09/16/2008,2008,1.9,ug/m3 LC,40.816,-73.902
09/18/2008,2008,10.1,ug/m3 LC,40.816,-73.902
09/19/2008,2008,4.3,ug/m3 LC,40.816,-73.902
09/20/2008,2008,8.6,ug/m3 LC,40.816,-73.902
09/21/2008,2008,20.8,ug/m3 LC,40.816,-73.902
09/24/2008,2008,6.2,ug/m3 LC,40.816,-73.902
09/25/2008,2008,5.2,ug/m3 LC,40.816,-73.902
09/26/2008,2008,2.1,ug/m3 LC,40.816,-73.902
09/27/2008,2008,2.9,ug/m3 LC,40.816,-73.902
09/28/2008,2008,6.2,ug/m3 LC,40.816,-73.902
09/29/2008,2008,3.6,ug/m3 LC,40.816,-73.902
